x00EF U[00EF] P[00EF] L[00EF] E[00CB] H[00CB] plLayerAnimationBase
x00F0 U[00F0] P[00F0] L[00F0] E[00CC] H[00CC] plLayerSDLAnimation
x00F1 U[00F1] P[00F1] L[00F1] E[00CD] H[00CD] plATCAnim
x00F2 U[00F2] P[00F2] L[00F2] E[00CE] H[00CE] plAgeGlobalAnim
x00F3 U[00F3] P[00F3] L[00F3] E[----] H[----] plSubworldRegionDetector
x00F4 U[00F4] P[00F4] L[00F4] E[00CF] H[00CF] plAvatarMgr
x00F5 U[00F5] P[00F5] L[00F5] E[----] H[----] plNPCSpawnMod
x00F6 U[00F6] P[00F6] L[00F6] E[00D1] H[00D1] plActivePrintShape
x00F7 U[00F7] P[00F7] L[00F7] E[00D2] H[00D2] plExcludeRegionSDLModifier
x00F8 U[00F8] P[00F8] L[00F8] E[----] H[----] plLOSDispatch
x00F9 U[00F9] P[00F9] L[00F9] E[00D3] H[00D3] plDynaWakeMgr
x00FA U[00FA] P[00FA] L[00FA] E[----] H[----] plSimulationMgr
x00FB U[00FB] P[00FB] L[00FB] E[00D4] H[00D4] plWaveSet7
x00FC U[00FC] P[00FC] L[00FC] E[00D5] H[00D5] plPanicLinkRegion
x00FD U[00FD] P[00FD] L[00FD] E[00D6] H[00D6] plWin32GroupedSound
x00FE U[00FE] P[00FE] L[00FE] E[00D7] H[00D7] plFilterCoordInterface
x00FF U[00FF] P[00FF] L[00FF] E[00D8] H[00D8] plStereizer
x0100 U[0100] P[0100] L[0100] E[----] H[----] plCCRMgr
x0101 U[0101] P[0101] L[0101] E[----] H[----] plCCRSpecialist
x0102 U[0102] P[0102] L[0102] E[----] H[----] plCCRSeniorSpecialist
x0103 U[0103] P[0103] L[0103] E[----] H[----] plCCRShiftSupervisor
x0104 U[0104] P[0104] L[0104] E[----] H[----] plCCRGameOperator
x0105 U[0105] P[0105] L[0105] E[00D9] H[00D9] plShader
x0106 U[0106] P[0106] L[0106] E[00DA] H[00DA] plDynamicEnvMap
x0107 U[0107] P[0107] L[0107] E[00DB] H[00DB] plSimpleRegionSensor
x0108 U[0108] P[0108] L[0108] E[00DC] H[00DC] plMorphSequence
x0109 U[0109] P[0109] L[0109] E[----] H[----] plEmoteAnim
x010A U[010A] P[010A] L[010A] E[00DE] H[00DE] plDynaRippleVSMgr
x010B U[010B] P[010B] L[010B] E[00DF] H[----] plWaveSet6
x010C U[010C] P[010C] L[010C] E[00E0] H[00E0] pfGUIProgressCtrl
x010D U[010D] P[010D] L[010D] E[00E1] H[00E1] plMaintainersMarkerModifier
x010E U[010E] P[010E] L[010E] E[----] H[----] plMorphSequenceSDLMod
x010F U[010F] P[010F] L[010F] E[00E2] H[00E2] plMorphDataSet
x0110 U[0110] P[0110] L[0110] E[00E3] H[00E3] plHardRegion
x0111 U[0111] P[0111] L[0111] E[00E4] H[00E4] plHardRegionPlanes
x0112 U[0112] P[0112] L[0112] E[00E5] H[00E5] plHardRegionComplex
x0113 U[0113] P[0113] L[0113] E[00E6] H[00E6] plHardRegionUnion
x0114 U[0114] P[0114] L[0114] E[00E7] H[00E7] plHardRegionIntersect
x0115 U[0115] P[0115] L[0115] E[00E8] H[00E8] plHardRegionInvert
x0116 U[0116] P[0116] L[0116] E[00E9] H[00E9] plVisRegion
x0117 U[0117] P[0117] L[0117] E[00EA] H[00EA] plVisMgr
x0118 U[0118] P[0118] L[0118] E[00EB] H[00EB] plRegionBase
x0119 U[0119] P[0119] L[0119] E[00EC] H[00EC] pfGUIPopUpMenu
